,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
2022-07-01,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-05,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-06,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-07,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-08,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-11,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-12,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-13,0,47,15,0,0,1,100,0,0,100,0,0,49,60,0,13,76,0,55,16,0,0,51,0,0,31,10,63,0,
2022-07-14,0,2,0,0,0,-8,100,0,0,100,0,0,0,58,0,0,54,0,49,1,0,0,57,0,0,0,0,83,0,
2022-07-15,0,0,-100,0,91,0,0,0,100,-100,100,1,0,-100,0,0,-100,0,-71,96,0,0,-12,0,0,39,0,-56,0,
2022-07-18,0,0,-20,0,65,0,0,0,100,-100,100,0,0,-100,0,0,-100,0,-71,96,0,0,-12,0,0,0,0,-56,0,
2022-07-19,0,0,0,0,51,0,0,0,100,-100,100,1,0,-100,0,0,-100,0,-71,96,0,0,-12,0,0,0,1,-56,0,
2022-07-20,0,0,0,0,50,0,0,0,100,-100,100,1,0,-100,0,0,-100,0,-71,96,0,0,-12,0,0,0,0,-56,0,
2022-07-21,0,0,0,0,0,0,0,0,100,-100,100,1,0,-100,0,0,-100,0,-82,10,100,0,-37,0,0,100,1,-75,0,
2022-07-22,0,0,0,0,0,0,0,0,100,-100,100,0,0,-38,0,0,-100,0,-78,100,1,0,-23,0,0,58,0,-58,0,
2022-07-25,0,0,0,0,0,0,0,0,100,-100,100,0,0,0,0,0,-62,0,-45,81,0,0,-23,0,0,0,0,-58,0,
2022-07-26,0,0,0,0,0,0,0,0,70,-100,100,0,0,0,0,0,0,0,0,1,0,0,-23,0,0,0,0,-58,0,
2022-07-27,0,0,0,0,0,0,0,0,71,-100,100,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,1,-58,0,
2022-07-28,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,-56,0,
2022-07-29,0,0,0,0,0,0,0,0,68,0,0,3,0,0,0,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,
2022-08-01,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,
2022-08-03,0,49,0,0,100,100,38,0,100,100,0,0,0,0,0,0,0,0,0,34,0,61,52,100,0,100,90,67,34,
2022-08-04,0,49,0,0,100,100,38,0,100,100,0,0,0,0,0,0,0,0,0,34,0,61,52,100,0,100,90,67,34,
2022-08-05,0,49,0,0,100,100,38,0,100,100,0,0,0,0,0,0,0,0,0,34,0,61,52,100,0,100,90,67,34,
2022-08-08,0,49,0,0,100,100,38,0,100,100,0,0,0,0,0,0,0,0,0,34,0,61,52,100,0,100,90,67,34,
2022-08-09,0,49,0,0,100,100,38,0,100,100,0,0,0,0,0,0,0,0,0,34,0,61,52,100,0,100,90,67,34,
2022-08-10,0,9,0,0,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,61,52,100,0,100,90,67,0,
