,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
2022-07-01,0,98,95,0,86,0,0,0,94,0,0,12,98,74,0,97,92,0,0,58,0,0,96,80,0,95,76,93,97,
2022-07-05,0,98,95,0,86,0,0,0,94,0,0,12,98,74,0,97,92,0,0,58,0,0,96,80,0,95,76,93,97,
2022-07-06,0,98,95,0,86,0,0,0,94,0,0,12,98,74,0,97,92,0,0,58,0,0,96,80,0,95,76,93,97,
2022-07-07,0,98,95,0,86,0,0,0,94,0,0,12,98,74,0,97,92,0,0,58,0,0,96,80,0,95,76,93,97,
2022-07-08,0,98,2,0,0,0,0,0,0,0,0,0,98,0,0,97,0,0,0,0,0,0,11,0,0,0,0,1,97,
2022-07-11,0,17,0,0,-92,0,0,0,0,0,0,0,1,-34,0,0,0,0,0,0,0,0,0,0,1,0,0,99,99,
2022-07-12,0,15,0,0,-94,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,1,0,0,99,99,
2022-07-13,0,8,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,99,99,
2022-07-14,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,74,
2022-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,
2022-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,
2022-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
2022-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-03,59,97,0,89,87,0,93,97,0,96,0,0,78,94,0,89,0,0,0,0,0,53,0,87,0,96,90,96,0,
2022-08-04,59,97,0,89,87,0,93,97,0,96,0,0,78,94,0,89,0,0,0,0,0,53,0,87,0,96,90,96,0,
2022-08-05,59,97,0,89,87,0,93,97,0,96,0,0,78,94,0,89,0,0,0,0,0,53,0,87,0,96,90,96,0,
2022-08-08,59,97,0,89,87,0,93,97,0,96,0,0,78,94,0,89,0,0,0,0,0,53,0,87,0,96,90,96,0,
2022-08-09,0,97,0,89,87,0,93,97,0,96,0,0,0,94,0,89,0,0,0,0,0,0,0,75,0,96,90,96,0,
2022-08-10,1,-17,0,0,0,0,0,0,0,0,0,0,-35,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-11,63,-18,0,0,0,0,0,0,0,0,0,0,-38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-12,97,-34,0,0,0,0,0,0,0,0,0,0,-51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022-08-15,96,-31,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-16,1,-34,0,99,0,0,0,0,0,0,0,0,-64,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-17,0,-38,0,99,0,0,0,0,0,0,0,0,-68,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-18,0,-38,0,55,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-19,0,-37,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-22,0,-22,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022-08-23,4,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-24,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022-08-25,18,-13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
