account_rewards,date
-1992.96727429959,2022-01-03
-9777.596569519024,2022-01-04
-5832.396595779341,2022-01-05
595.6480713728815,2022-01-06
1473.505178176798,2022-01-07
1277.8639751092996,2022-01-10
-3279.9495755501557,2022-01-11
-180.9858522338327,2022-01-12
-4124.398639324354,2022-01-13
-19337.806142261485,2022-01-14
-7332.307601699838,2022-01-18
-12561.458250427153,2022-01-19
-8149.429763809312,2022-01-20
-3403.2029668120667,2022-01-21
-1797.2425925941207,2022-01-24
-8725.249444038374,2022-01-25
-2221.168232807191,2022-01-26
20405.690853118896,2022-01-27
-1158.0921006163117,2022-01-28
2302.2541370391846,2022-01-31
4355.876172638033,2022-02-01
-7270.88130111713,2022-02-02
155.42784767155536,2022-02-03
5571.543989105383,2022-02-04
19443.232402217807,2022-02-07
6431.958718464011,2022-02-08
-17761.07313324744,2022-02-09
-13664.879556262866,2022-02-10
-7769.116610122845,2022-02-11
9543.551797493128,2022-02-14
888.829929172527,2022-02-15
-14208.79394684988,2022-02-16
-4451.905351364054,2022-02-17
-5165.14032490924,2022-02-18
-10079.85698890686,2022-02-22
-9015.350928253261,2022-02-23
37995.244675052585,2022-02-24
-5453.371490478516,2022-02-25
-14386.132225036621,2022-02-28
21563.43942027283,2022-03-01
589.0434609451331,2022-03-02
5543.334388702409,2022-03-03
-21254.59150329209,2022-03-04
-12223.689500610344,2022-03-07
13247.07763671875,2022-03-08
-938.2961502075195,2022-03-09
-2540.3351516723633,2022-03-10
1870.1904220581055,2022-03-11
15109.319229125977,2022-03-14
9453.2357711792,2022-03-15
14588.612998962402,2022-03-16
1430.640022277832,2022-03-17
1477.421630859375,2022-03-18
3752.003593444824,2022-03-21
-8109.675239562988,2022-03-22
18210.623931884766,2022-03-23
8289.2054977417,2022-03-24
-664.2936706542969,2022-03-25
2169.7810821533203,2022-03-28
8457.559577941895,2022-03-29
-18841.779357910156,2022-03-30
5354.16414642334,2022-03-31
