account_value,date,daily_return
1223074.0056751175,2022-01-03,
1221081.038400818,2022-01-04,-0.0016294739852634743
1211303.4418312989,2022-01-05,-0.008007328147789594
1205471.0452355195,2022-01-06,-0.004814975665355714
1206066.6933068924,2022-01-07,0.0004941205960333761
1207540.1984850692,2022-01-10,0.001221744358213428
1208818.0624601785,2022-01-11,0.0010582372137279972
1205538.1128846284,2022-01-12,-0.002713352552719872
1205357.1270323945,2022-01-13,-0.0001501286855217776
1201232.7283930702,2022-01-14,-0.003421723360510276
1181894.9222508087,2022-01-18,-0.016098301091188483
1174562.6146491088,2022-01-19,-0.006203857435766014
1162001.1563986817,2022-01-20,-0.010694583748674602
1153851.7266348724,2022-01-21,-0.0070132716468771505
1150448.5236680603,2022-01-24,-0.002949428326235015
1148651.2810754662,2022-01-25,-0.0015622103515451347
1139926.0316314278,2022-01-26,-0.007596082107590552
1137704.8633986206,2022-01-27,-0.0019485196154599427
1158110.5542517395,2022-01-28,0.017935838642863633
1156952.4621511232,2022-01-31,-0.0009999840657393122
1159254.7162881624,2022-02-01,0.001989929761468945
1163610.5924608004,2022-02-02,0.003757479794074259
1156339.7111596833,2022-02-03,-0.006248552005478691
1156495.1390073549,2022-02-04,0.00013441365558186646
1162066.6829964602,2022-02-07,0.0048176112472790855
1181509.915398678,2022-02-08,0.016731597839189538
1187941.874117142,2022-02-09,0.0054438465853192675
1170180.8009838946,2022-02-10,-0.014951129781873518
1156515.9214276318,2022-02-11,-0.011677579690910433
1148746.804817509,2022-02-14,-0.006717691011579374
1158290.356615002,2022-02-15,0.008307793986864764
1159179.1865441746,2022-02-16,0.0007673636615348478
1144970.3925973247,2022-02-17,-0.01225763377378275
1140518.4872459606,2022-02-18,-0.003888227486184226
1135353.3469210514,2022-02-22,-0.00452876510347644
1125273.4899321445,2022-02-23,-0.008878167326711317
1116258.1390038913,2022-02-24,-0.00801169760854925
1154253.3836789439,2022-02-25,0.03403804491760143
1148800.0121884653,2022-02-28,-0.004724587831050564
1134413.8799634287,2022-03-01,-0.012522747277510016
1155977.3193837015,2022-03-02,0.019008441099969575
1156566.3628446467,2022-03-03,0.0005095631644911336
1162109.697233349,2022-03-04,0.00479292374980389
1140855.105730057,2022-03-07,-0.018289660222174597
1128631.4162294467,2022-03-08,-0.010714497782598031
1141878.4938661654,2022-03-09,0.011737293013670325
1140940.1977159579,2022-03-10,-0.0008217127787656375
1138399.8625642855,2022-03-11,-0.002226527873027795
1140270.0529863436,2022-03-14,0.0016428238297969688
1155379.3722154696,2022-03-15,0.013250649869787301
1164832.6079866488,2022-03-16,0.00818193227134767
1179421.2209856112,2022-03-17,0.012524214122214605
1180851.861007889,2022-03-18,0.001213001764613253
1182329.2826387484,2022-03-21,0.0012511490049211815
1186081.2862321932,2022-03-22,0.0031733998713716627
1177971.6109926302,2022-03-23,-0.006837368849587744
1196182.234924515,2022-03-24,0.015459306287134877
1204471.4404222567,2022-03-25,0.0069297179440763745
1203807.1467516024,2022-03-28,-0.0005515229737795835
1205976.9278337557,2022-03-29,0.0018024324643763912
1214434.4874116976,2022-03-30,0.007013035973361337
1195592.7080537875,2022-03-31,-0.015514858605561566
1200946.8722002108,2022-04-01,0.004478250921368554
