date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,-100,100,0,0,0,0,0,0,0,98,-100,0,0,0,0,0,-100,0,0,0,0,0,0,1,0,0,0,-2,100
2022-01-04,-100,100,0,0,0,0,0,0,0,63,-100,0,100,0,0,0,-100,0,0,0,0,0,0,2,0,0,0,0,100
2022-01-05,-100,0,0,0,0,80,100,1,0,0,-100,0,100,100,0,100,-100,0,0,0,0,0,0,0,0,0,0,0,100
2022-01-06,-100,0,0,0,0,78,100,0,0,0,-100,0,100,100,0,100,-100,0,0,1,0,0,0,0,0,0,0,0,100
2022-01-07,-100,0,0,0,0,0,100,0,0,0,-74,0,100,100,0,97,-100,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-10,-100,0,0,0,0,0,0,0,0,27,0,0,1,1,0,0,-100,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-11,-100,0,0,0,0,0,100,0,0,0,0,0,41,0,0,0,-100,0,0,100,0,0,0,0,0,0,0,1,100
2022-01-12,-100,0,0,0,0,0,100,0,0,0,0,0,42,0,0,0,-100,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-13,-100,0,0,0,0,0,82,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-14,-100,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-18,-100,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-19,-100,0,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-20,-100,0,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-21,-100,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-24,-100,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-25,-100,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-01-26,-75,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,0,-904,0,0,0,-197,-596,-62,0,-250,0,0,-1448,-309,0,-297,0,-878,0,-1201,0,0,0,-3,0,0,0,-1,-6273
2022-01-31,0,100,100,100,0,0,100,100,0,100,0,100,0,100,0,100,0,100,100,0,0,0,100,100,100,0,0,100,0
2022-02-01,0,100,100,100,0,0,100,100,0,100,0,100,0,100,0,100,0,100,100,0,0,0,100,100,100,0,0,100,0
2022-02-02,0,100,100,100,0,0,100,100,0,100,0,100,0,100,0,100,0,100,100,0,0,0,100,100,100,0,0,100,0
2022-02-03,0,100,100,100,0,0,100,100,0,100,0,100,0,100,0,100,0,100,100,0,0,0,100,100,100,0,0,100,0
2022-02-04,0,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,87,0,0,0,0
2022-02-07,0,0,0,-16,0,0,-15,0,0,-100,0,-99,0,2,0,0,0,61,-100,0,0,0,-65,100,100,0,0,0,0
2022-02-08,0,0,90,0,0,0,0,0,0,-99,0,0,0,100,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,1
2022-02-09,0,100,0,-54,0,0,0,0,0,-99,0,0,0,100,0,100,0,3,-100,0,0,0,0,100,0,0,0,0,2
2022-02-10,0,100,0,-99,0,0,0,0,0,-99,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,99,0,0,0,0
2022-02-11,0,56,0,-99,0,0,0,0,0,-3,0,0,0,2,0,100,0,0,-1,0,0,0,0,0,0,0,0,-92,-3
2022-02-14,0,25,0,-99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0
2022-02-15,0,0,0,-33,0,0,0,0,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0,0,0,0,-84,0
2022-02-16,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0
2022-02-17,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,0
2022-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-22,0,0,-98,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
2022-02-23,0,0,-89,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2022-02-24,0,0,-99,0,0,0,2,0,0,0,0,-99,0,100,0,0,0,100,0,0,0,0,0,0,17,0,0,-1,0
2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,0,36,-81,0,0,0,2,0,100,0,0,-72,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,0,19,-60,0,0,0,2,0,100,0,0,-73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,0,79,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-03-04,0,49,-64,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
