,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999138.9560732536
2,2021-10-05,1000405.2159220963
3,2021-10-06,1000825.9862944946
4,2021-10-07,1003394.6393087653
5,2021-10-08,1002357.3164780653
6,2021-10-11,999033.1131600224
7,2021-10-12,996453.0719384495
8,2021-10-13,996673.4956700131
9,2021-10-14,1006430.39958337
10,2021-10-15,1017264.4063088644
11,2021-10-18,1016610.0678724134
12,2021-10-19,1023308.591033634
13,2021-10-20,1024843.4663573187
14,2021-10-21,1020955.5238219183
15,2021-10-22,1023990.8781462591
16,2021-10-25,1028059.7501555365
17,2021-10-26,1027901.4307738226
18,2021-10-27,1017663.0198851507
19,2021-10-28,1028102.8715849798
20,2021-10-29,1026243.5917998236
21,2021-11-01,1031807.1788817327
22,2021-11-02,1039446.7702361029
23,2021-11-03,1039217.2397337835
24,2021-11-04,1035968.8761931341
25,2021-11-05,1038469.4668150824
26,2021-11-08,1042276.9807921331
27,2021-11-09,1037587.6483488958
28,2021-11-10,1029169.5251341742
29,2021-11-11,1026015.5449400824
30,2021-11-12,1031507.5925932806
31,2021-11-15,1032099.8485136908
32,2021-11-16,1034416.9306822699
33,2021-11-17,1029720.1277647894
34,2021-11-18,1029100.3868285101
35,2021-11-19,1021895.0151549261
36,2021-11-22,1024004.9931212347
37,2021-11-23,1029017.2991820257
38,2021-11-24,1026535.610720722
39,2021-11-26,1001464.4492827337
40,2021-11-29,1006410.9382201117
41,2021-11-30,990489.8343230169
42,2021-12-01,973320.107104389
43,2021-12-02,993431.1138487738
44,2021-12-03,990554.4450560492
45,2021-12-06,1009688.0237761419
46,2021-12-07,1023627.5690337103
47,2021-12-08,1024267.9301329535
48,2021-12-09,1022405.4861784857
49,2021-12-10,1023049.5508604925
50,2021-12-13,1010636.8064604681
51,2021-12-14,1008871.2917967718
52,2021-12-15,1018542.2307158392
53,2021-12-16,1016960.2065306585
54,2021-12-17,1000755.4940215033
55,2021-12-20,987663.2150603216
56,2021-12-21,1003221.6169615667
57,2021-12-22,1010782.8012114447
58,2021-12-23,1017833.7309752386
59,2021-12-27,1027073.9197264593
60,2021-12-28,1030192.8824797552
61,2021-12-29,1032154.009371845
62,2021-12-30,1030792.4475584906
63,2021-12-31,1029035.3193236273
64,2022-01-03,1040236.6684294622
65,2022-01-04,1052412.9651671331
66,2022-01-05,1037205.2319212835
67,2022-01-06,1035032.1094695013
68,2022-01-07,1037113.2395419958
69,2022-01-10,1033438.4819567068
70,2022-01-11,1039716.6145392531
71,2022-01-12,1037769.0683990553
72,2022-01-13,1036090.786611183
73,2022-01-14,1024485.4143945005
74,2022-01-18,1004402.6502411078
75,2022-01-19,989111.3600048445
76,2022-01-20,975992.2690252073
77,2022-01-21,960659.6311679075
78,2022-01-24,964795.3596568296
79,2022-01-25,962372.1757617185
80,2022-01-26,953233.5229373167
81,2022-01-27,951369.3581919859
82,2022-01-28,964257.5154338072
83,2022-01-31,978975.8180613706
84,2022-02-01,990223.1012644956
85,2022-02-02,989510.6070628355
86,2022-02-03,972137.3471713255
87,2022-02-04,974455.1271281431
88,2022-02-07,975780.5645262182
89,2022-02-08,988138.4396727255
90,2022-02-09,996176.3890409162
91,2022-02-10,984397.5138120344
92,2022-02-11,968626.1156530073
93,2022-02-14,962619.1522130659
94,2022-02-15,976590.1210279157
95,2022-02-16,972562.3439740827
96,2022-02-17,951110.0395803144
97,2022-02-18,943628.3105878523
98,2022-02-22,923164.2887601545
99,2022-02-23,909349.7333468053
100,2022-02-24,913240.4085899236
101,2022-02-25,933864.8215679624
102,2022-02-28,927827.6560577238
103,2022-03-01,912338.5961581914
104,2022-03-02,930530.4871378782
105,2022-03-03,926689.5107432249
106,2022-03-04,918837.9112592314
107,2022-03-07,902577.198853073
108,2022-03-08,900843.8027539824
109,2022-03-09,918604.132042465
110,2022-03-10,912116.8546300505
111,2022-03-11,906328.139439163
112,2022-03-14,904440.7226148222
113,2022-03-15,921410.5942693327
114,2022-03-16,938523.5251012419
115,2022-03-17,950856.0762830351
116,2022-03-18,958212.4695745085
117,2022-03-21,948083.0350804899
118,2022-03-22,956352.9080930327
119,2022-03-23,940162.2433820341
120,2022-03-24,946664.1733289335
121,2022-03-25,948398.0063901518
122,2022-03-28,950214.3186650847
123,2022-03-29,961543.640812454
124,2022-03-30,955811.3049741362
125,2022-03-31,940117.1508756254
126,2022-04-01,940634.3417020414
127,2022-04-04,946163.0368505095
128,2022-04-05,933124.5126844023
129,2022-04-06,925270.9236417387
130,2022-04-07,926276.1324277495
131,2022-04-08,931189.2098737333
132,2022-04-11,923112.1438413237
133,2022-04-12,921562.4686132048
134,2022-04-13,929463.8648114775
135,2022-04-14,924931.4475026701
136,2022-04-18,923082.6252599333
137,2022-04-19,941422.1645513151
138,2022-04-20,947022.5667310331
139,2022-04-21,936474.8034825895
140,2022-04-22,908116.5731397246
141,2022-04-25,915210.5506520842
142,2022-04-26,893367.0920301054
143,2022-04-27,888986.6710668181
144,2022-04-28,901147.8520742033
145,2022-04-29,874519.4736905668
146,2022-05-02,880174.7365308378
147,2022-05-03,886113.8259358977
148,2022-05-04,912536.1128736113
149,2022-05-05,882331.0847974394
150,2022-05-06,878881.2174993132
151,2022-05-09,864930.8573690031
152,2022-05-10,858715.0317922209
153,2022-05-11,847302.9498639677
154,2022-05-12,847817.9147725676
155,2022-05-13,860177.4478726957
156,2022-05-16,858857.7553639982
157,2022-05-17,874894.3814359282
158,2022-05-18,847158.5557218168
159,2022-05-19,842278.0931783293
160,2022-05-20,838569.9733358
161,2022-05-23,855891.9682508085
162,2022-05-24,854837.7394986723
163,2022-05-25,861269.8680348967
164,2022-05-26,876722.6920400236
165,2022-05-27,892808.5660482023
166,2022-05-31,888208.3902822111
167,2022-06-01,885992.0249715422
168,2022-06-02,899908.394920883
169,2022-06-03,892157.4805913542
170,2022-06-06,891360.3220296477
171,2022-06-07,896529.9588246916
172,2022-06-08,889707.1747747038
173,2022-06-09,871701.877594528
174,2022-06-10,842805.5545430754
175,2022-06-13,818993.240372238
176,2022-06-14,816196.1856694792
177,2022-06-15,828321.647271591
178,2022-06-16,810129.3044618681
179,2022-06-17,809310.9024186475
180,2022-06-21,821371.9065033643
181,2022-06-22,819765.3874221494
182,2022-06-23,825323.7720084836
183,2022-06-24,853435.1064849546
184,2022-06-27,850037.0745063474
185,2022-06-28,834343.0926986387
186,2022-06-29,835969.3499007871
187,2022-06-30,824727.3645034482
188,2022-07-01,833528.6200233152
189,2022-07-05,833702.2521796873
190,2022-07-06,831264.2920547178
191,2022-07-07,844870.9320769956
192,2022-07-08,841837.0586295774
193,2022-07-11,836147.2954345396
194,2022-07-12,834752.995629852
195,2022-07-13,829904.8593345335
196,2022-07-14,825486.7889571836
197,2022-07-15,842996.5484901121
198,2022-07-18,839902.864469116
199,2022-07-19,860220.6745353391
200,2022-07-20,867005.4009681394
201,2022-07-21,873838.8003860166
202,2022-07-22,869828.3270736387
203,2022-07-25,869635.7405982664
204,2022-07-26,861252.8833175352
205,2022-07-27,873631.3046241453
206,2022-07-28,878987.9200797727
207,2022-07-29,889188.1087089231
208,2022-08-01,890983.1919223288
209,2022-08-02,877453.8151790121
210,2022-08-03,891360.6482593039
211,2022-08-04,889872.0548335531
212,2022-08-05,892180.2428180197
213,2022-08-08,894586.9774295309
214,2022-08-09,890098.6190730551
215,2022-08-10,909836.5566951254
216,2022-08-11,911473.2678386191
217,2022-08-12,922274.390458248
218,2022-08-15,926168.6618548849
219,2022-08-16,934458.2209292868
220,2022-08-17,928925.6897555807
221,2022-08-18,929130.8203784445
222,2022-08-19,919252.1614390829
223,2022-08-22,899434.41015353
224,2022-08-23,895576.2718287924
225,2022-08-24,897945.5592242697
226,2022-08-25,906409.5351726034
227,2022-08-26,876387.6724406698
228,2022-08-29,869927.2769404867
229,2022-08-30,862549.6787120322
230,2022-08-31,857136.9339381674
231,2022-09-01,861077.4803439596
232,2022-09-02,852475.4203578451
233,2022-09-06,846555.6987010458
234,2022-09-07,858995.0281917074
235,2022-09-08,865997.2896625021
236,2022-09-09,876850.1689578512
237,2022-09-12,880717.8215304831
238,2022-09-13,841355.0183650473
239,2022-09-14,844091.0612308005
240,2022-09-15,838906.259144924
241,2022-09-16,835379.2627841452
242,2022-09-19,840997.2330180624
243,2022-09-20,830992.2935344198
244,2022-09-21,817865.4212810019
245,2022-09-22,813794.605389736
246,2022-09-23,799044.9352733115
247,2022-09-26,790085.3677035788
248,2022-09-27,788443.9154025534
249,2022-09-28,807496.5665179709
250,2022-09-29,791874.5904170492
251,2022-09-30,779519.6846171835
252,2022-10-03,799472.9735194662
253,2022-10-04,826344.3460933188
254,2022-10-05,822457.4557010153
255,2022-10-06,813877.8113910177
256,2022-10-07,798531.3727237204
257,2022-10-10,798728.7861033896
258,2022-10-11,799499.3757449606
259,2022-10-12,798603.296746395
260,2022-10-13,820021.774895809
261,2022-10-14,808718.8261996725
262,2022-10-17,824341.2180110434
263,2022-10-18,835645.6558505514
264,2022-10-19,828400.11768832
265,2022-10-20,826908.6276523093
266,2022-10-21,852229.4167148093
267,2022-10-24,864843.2689219931
268,2022-10-25,875909.868722103
269,2022-10-26,876184.4634410361
270,2022-10-27,884053.6074115256
271,2022-10-28,905825.2072268942
272,2022-10-31,901781.8505603293
273,2022-11-01,902683.3627215842
274,2022-11-02,889128.54031863
275,2022-11-03,884626.80544009
276,2022-11-04,896275.7823840597
277,2022-11-07,909836.8535815695
278,2022-11-08,920831.3906871298
279,2022-11-09,904107.3988734701
280,2022-11-10,943868.0624095419
281,2022-11-11,949514.0932938841
282,2022-11-14,944199.4955683172
283,2022-11-15,948632.8344401967
284,2022-11-16,944871.3281268728
285,2022-11-17,943006.4752101552
286,2022-11-18,946513.4680537832
287,2022-11-21,949236.0031184804
288,2022-11-22,960158.9373683584
289,2022-11-23,962184.756475414
290,2022-11-25,965900.2885226858
291,2022-11-28,951189.7933253896
292,2022-11-29,951725.5036372793
293,2022-11-30,970490.5567378652
294,2022-12-01,964377.1201800954
295,2022-12-02,965051.5422038686
296,2022-12-05,949180.8078975332
297,2022-12-06,935267.8186931264
298,2022-12-07,934776.1761493337
299,2022-12-08,938957.1439952505
300,2022-12-09,932276.4937953603
301,2022-12-12,946068.2839030874
302,2022-12-13,952722.293874706
303,2022-12-14,947417.6194705617
304,2022-12-15,923566.6106013906
305,2022-12-16,917865.9838733327
306,2022-12-19,912386.9713458669
307,2022-12-20,914422.3317584646
308,2022-12-21,928640.4697055471
309,2022-12-22,917171.5179195058
310,2022-12-23,919913.1598491323
311,2022-12-27,919516.5789851797
312,2022-12-28,909776.3070621145
313,2022-12-29,919217.1371402395
314,2022-12-30,917474.445211376
315,2023-01-03,921880.9937266958
316,2023-01-04,934891.5285091054
317,2023-01-05,928986.5150851858
318,2023-01-06,949657.040712322
319,2023-01-09,946436.3549022329
320,2023-01-10,953438.9665202749
321,2023-01-11,961247.5013484609
322,2023-01-12,969596.3057689321
323,2023-01-13,975135.1697406423
324,2023-01-17,958169.5990657461
325,2023-01-18,944006.6704654348
326,2023-01-19,934531.2177981985
327,2023-01-20,939667.6184024465
328,2023-01-23,950090.2515201223
329,2023-01-24,950559.2076778066
330,2023-01-25,951447.3652858388
331,2023-01-26,955339.0324382436
332,2023-01-27,956400.3925227773
333,2023-01-30,949494.6457919729
334,2023-01-31,958858.6340350759
335,2023-02-01,960612.3612308156
336,2023-02-02,967744.8579616201
337,2023-02-03,962453.1921583231
338,2023-02-06,960238.5117368277
339,2023-02-07,966595.3755547674
340,2023-02-08,960920.5895638426
341,2023-02-09,952335.9758733595
342,2023-02-10,955425.6510242689
343,2023-02-13,965788.3218096197
344,2023-02-14,960545.1479440192
345,2023-02-15,964624.3872552374
346,2023-02-16,953176.401197956
347,2023-02-17,955287.9336724738
348,2023-02-21,929760.5908189276
349,2023-02-22,927565.2586656073
350,2023-02-23,932307.6971307257
351,2023-02-24,922462.2675805548
352,2023-02-27,926336.3786321143
