,date,DJI,A2C,DDPG,PPO,SAC,TD3
0,2022-07-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1,2022-07-05,995837.5929551168,998941.2123386305,997988.724350357,999999.9185631332,999592.2361364594,999007.4175331115
2,2022-07-06,998084.0730477847,1000098.5496021953,1000434.7111297606,999978.9006493724,1000865.5817345846,1001369.2522304535
3,2022-07-07,1009238.4672408523,1001953.5237558095,1007344.1180427552,1001308.6120954707,1007729.8193914222,1008086.6702644348
4,2022-07-08,1007746.3617957194,1002085.9421548347,1005301.8727277679,1000963.5301739161,1008087.4280325355,1006899.5896657181
5,2022-07-11,1002462.5989139291,999628.6986441154,1000190.6687201234,999680.5479941105,1003365.1366490478,1002358.7383244706
6,2022-07-12,996272.0288419705,993451.2829870987,993619.016346695,998879.3428212705,997171.0108468971,992294.1348469926
7,2022-07-13,989565.9390708222,985127.5857526399,986583.7253261108,998551.7325183415,991007.9689788132,984799.3408177567
8,2022-07-14,984979.7105188566,983886.401842743,981017.9413417359,995530.980106087,991445.3779326553,979442.7284253312
9,2022-07-15,1006142.0202757266,1006637.8074016497,1004944.3145084687,999410.3292341921,1015345.2123790664,1004498.3742039872
10,2022-07-18,999207.3130941187,995667.4443747903,993997.7609272309,998012.3115166208,1003840.0073734206,997837.8597081376
11,2022-07-19,1023468.0168325221,1018422.973633793,1016853.642831833,1006291.3195367204,1025763.1478687209,1023770.9052479935
12,2022-07-20,1025004.7780410716,1015821.2023305933,1013173.2471714326,1007974.8918276981,1027011.2025943679,1026347.2166569901
13,2022-07-21,1030216.1872808704,1019099.7226479112,1020002.0022297212,1008907.0653319553,1032699.5558238906,1034013.245236702
14,2022-07-22,1025790.9958279207,1016646.9070806124,1018268.2389087983,1005128.1868509145,1029422.6000820083,1029920.2762654496
15,2022-07-25,1028709.2593882461,1024586.7779242861,1024003.6557941743,1007759.5848344503,1030464.6898303909,1029626.2367146683
16,2022-07-26,1021361.3450793275,1016428.7913206255,1019377.2119617768,1001334.1733987738,1026146.9495159072,1021635.0884526444
17,2022-07-27,1035383.5060200804,1022837.552838112,1028945.0940647431,1005294.3088662153,1037308.7350807647,1037467.9194462968
