account_rewards,date
-11983.644439392025,2022-01-03
-19274.165637996746,2022-01-04
-8810.647417034023,2022-01-05
-1590.0175391044468,2022-01-06
551.0379275283776,2022-01-07
3633.966446246952,2022-01-10
2739.407514190767,2022-01-11
-9107.422835235484,2022-01-12
-4534.877040561754,2022-01-13
-14286.599337886786,2022-01-14
-4721.764804737177,2022-01-18
-12806.079890994937,2022-01-19
-9948.36327693949,2022-01-20
5731.7582992669195,2022-01-21
-12588.689921489684,2022-01-24
-9060.70459502039,2022-01-25
1644.1514657211956,2022-01-26
25622.849324699375,2022-01-27
-1034.2314108468127,2022-01-28
-383.9409737242386,2022-01-31
1910.5682562561706,2022-02-01
-4502.04439488973,2022-02-02
-1675.2823251076043,2022-02-03
-1481.1925405999646,2022-02-04
2411.341765861842,2022-02-07
3228.9950426711002,2022-02-08
-9565.712473273976,2022-02-09
-8843.056394279702,2022-02-10
-1109.7069934310857,2022-02-11
6761.9239171410445,2022-02-14
-1064.8346273880452,2022-02-15
-4726.059218387702,2022-02-16
-2522.242499725311,2022-02-17
-17917.124496581848,2022-02-18
-10426.567538047791,2022-02-22
1966.4564103622688,2022-02-23
14681.60340508644,2022-02-24
-3274.690431289724,2022-02-25
-8791.990145725315,2022-02-28
14130.980088104145,2022-03-01
-6650.355040557799,2022-03-02
-4746.91368619923,2022-03-03
-23559.341870773234,2022-03-04
-3283.5729704132536,2022-03-07
12360.085778587381,2022-03-08
-919.0760637855856,2022-03-09
-1879.4938008041354,2022-03-10
831.4922562370775,2022-03-11
23884.60525025183,2022-03-14
14982.379142337712,2022-03-15
8723.065643680631,2022-03-16
9212.908370380406,2022-03-17
-18472.298311786726,2022-03-18
8165.47282463836,2022-03-21
-21187.191108661587,2022-03-22
6546.004239471396,2022-03-23
-3085.553737499169,2022-03-24
6638.971431106562,2022-03-25
16295.54623818968,2022-03-28
-9461.421615299187,2022-03-29
-21388.390902202576,2022-03-30
3994.8722572859842,2022-03-31
