date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-04,0,0,99,99,0,100,-100,-100,-1,-11,-100,-100,0,-100,100,100,100,100,0,2,-100,0,-100,-100,37,-100,100,100,100
2021-10-05,50,0,-25,-99,0,100,-100,-99,0,0,-100,-100,0,-99,100,100,100,100,0,99,-100,0,0,-100,99,-100,100,100,100
2021-10-06,-50,0,-74,100,0,77,-100,-100,0,0,0,0,0,-31,0,0,0,100,0,-100,0,0,0,-80,0,-29,0,3,100
2021-10-07,99,0,0,-100,0,100,-79,-99,0,0,-100,-100,0,0,100,100,100,100,0,41,-100,0,0,0,0,0,100,100,100
2021-10-08,0,0,0,0,0,100,0,-44,0,0,-84,-100,0,0,1,100,100,66,0,100,-100,0,0,0,0,0,0,100,100
2021-10-11,0,0,0,0,0,100,0,0,0,0,0,-100,0,0,0,37,0,0,0,100,-100,0,0,0,0,0,0,100,100
2021-10-12,-35,0,0,0,0,0,0,0,0,0,0,-100,0,0,100,100,100,0,0,100,-95,0,0,0,0,0,35,100,100
2021-10-13,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,30,1,0,0,100,0,0,0,0,0,0,0,100,100
2021-10-14,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,13,2,100,0,0,0,0,0,0,-33,0,1,100,100
2021-10-15,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,13,0,0,0,-20,0,0,2,100
2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-27,0,0,0,0,1,0,0,-97,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,100
2021-10-28,0,0,0,0,1,0,0,-97,0,0,0,0,0,0,0,0,0,0,0,-87,37,0,0,0,0,0,0,1,100
2021-10-29,0,0,0,0,1,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,-98,34,0,0,0,0,0,0,3,100
2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,9,0,0,0,0,0,0,4,100
2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,8,0,0,0,0,0,0,4,100
2021-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,53
2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,-59,0,0,0,100
2021-11-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-16,0,0,0,100
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,1,11
2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,6,100
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,77
2021-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,1,0,0,0,0,0,0,0,100
2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,1,0,0,0,0,0,0,3,100
2021-12-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,1,0,0,0,0,0,0,1,100
2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,0,0,0,0,42
2021-12-06,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,-84,0,0,0,100
2021-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
